season,game_number,date,start_time,opponent,tournament,venue,result,unc_score,opponent_score,attendance
2012-13,27,Feb 23(Sat),4:00 PM,NC State,,Dean E. Smith Center,"W, 76-65",76,65,21750.0
2012-13,28,Feb 28(Thu),7:00 PM,Clemson,,Littlejohn Coliseum,"W, 68-59",68,59,9778.0
2012-13,29,Mar 3(Sun),2:00 PM,Florida State,,Dean E. Smith Center,"W, 79-58",79,58,21228.0
2012-13,30,Mar 6(Wed),7:00 PM,Maryland,,Xfinity Center,"W, 79-68",79,68,16897.0
2012-13,31,Mar 9(Sat),9:00 PM,Duke,,Dean E. Smith Center,"L, 53-69",53,69,21750.0
2012-13,32,Mar 15(Fri),9:30 PM,Florida State,ACC Tournament,Greensboro Coliseum,"W, 83-62",83,62,
2012-13,33,Mar 16(Sat),3:00 PM,Maryland,ACC Tournament,Greensboro Coliseum,"W, 79-76",79,76,22169.0
2012-13,34,Mar 17(Sun),1:00 PM,Miami,ACC Tournament,Greensboro Coliseum,"L, 77-87",77,87,22169.0
2012-13,35,Mar 22(Fri),7:20 PM,Villanova,NCAA Tournament,T-Mobile Center,"W, 78-71",78,71,
2012-13,36,Mar 24(Sun),5:15 PM,Kansas,NCAA Tournament,T-Mobile Center,"L, 58-70",58,70,
2013-14,1,Nov 8(Fri),9:00 PM,Oakland,,Dean E. Smith Center,"W, 84-61",84,61,15102.0
2013-14,2,Nov 15(Fri),8:00 PM,Holy Cross,Hall of Fame Tipoff Tournament,Dean E. Smith Center,"W, 62-54",62,54,
2013-14,3,Nov 17(Sun),4:00 PM,Belmont,Hall of Fame Tipoff Tournament,Dean E. Smith Center,"L, 80-83",80,83,15205.0
2013-14,4,Nov 23(Sat),12:00 PM,Richmond,Hall of Fame Tipoff Tournament,Mohegan Sun Arena,"W, 82-72",82,72,8113.0
2013-14,5,Nov 24(Sun),1:00 PM,Louisville,Hall of Fame Tipoff Tournament,Mohegan Sun Arena,"W, 93-84",93,84,
2013-14,6,Dec 1(Sun),6:00 PM,UAB,,Bartow Arena,"L, 59-63",59,63,8313.0
2013-14,7,Dec 4(Wed),9:00 PM,Michigan State,ACC/Big Ten Challenge,Breslin Center,"W, 79-65",79,65,14797.0
2013-14,8,Dec 7(Sat),7:00 PM,UNC Greensboro,,Dean E. Smith Center,"W, 81-50",81,50,15676.0
2013-14,9,Dec 14(Sat),5:15 PM,Kentucky,,Dean E. Smith Center,"W, 82-77",82,77,21750.0
2013-14,10,Dec 18(Wed),7:00 PM,Texas,,Dean E. Smith Center,"L, 83-86",83,86,17143.0
2013-14,11,Dec 21(Sat),5:00 PM,Davidson,,Dean E. Smith Center,"W, 97-85",97,85,18195.0
2013-14,12,Dec 27(Fri),7:00 PM,Northern Kentucky,,Dean E. Smith Center,"W, 75-60",75,60,18842.0
2013-14,13,Dec 31(Tue),5:00 PM,UNC Wilmington,,Dean E. Smith Center,"W, 84-51",84,51,16923.0
2013-14,14,Jan 5(Sun),8:00 PM,Wake Forest,,Lawrence Joel Veterans Memorial Coliseum,"L, 67-73",67,73,12462.0
