season,game_number,date,start_time,opponent,tournament,venue,promotion,result,ncstate_score,opponent_score,attendance
2016,39,Apr 17(Sun),1:00 PM,Georgia Tech,Irish Classic,Mac Nease Park,,"L, 7-16",7,16,1829
2016,40,Apr 19(Tue),6:30 PM,East Carolina,Irish Classic,Clark-LeClair Stadium,,"L, 3-15",3,15,4734
2016,42,Apr 23(Sat),1:00 PM,North Carolina A&T,Irish Classic,NewBridge Bank Park,,"W, 9-1",9,1,557
2016,43,Apr 24(Sun),1:00 PM,North Carolina A&T,Irish Classic,Doak Field,,"W, 25-1",25,1,1402
2016,44,Apr 25(Mon),6:00 PM,East Carolina,Irish Classic,Doak Field,,"W, 6-1",6,1,3048
2016,45,Apr 29(Fri),6:30 PM,Duke,Irish Classic,Doak Field,,"W, 3-2",3,2,3048
2016,46,Apr 30(Sat),6:30 PM,Duke,Irish Classic,Doak Field,,"W, 12-2",12,2,3048
2016,47,May 1(Sun),1:45 PM,Duke,Irish Classic,Doak Field,,"L, 1-2",1,2,1042
2016,48,May 6(Fri),6:30 PM,Clemson,Irish Classic,Doug Kingsmore Stadium,,"L, 5-10",5,10,4480
2016,49,May 7(Sat),4:00 PM,Clemson,Irish Classic,Doug Kingsmore Stadium,,"W, 20-9",20,9,4957
2016,50,May 8(Sun),1:00 PM,Clemson,Irish Classic,Doug Kingsmore Stadium,,"L, 1-2",1,2,4239
2016,51,May 13(Fri),6:00 PM,Louisville,Irish Classic,Jim Patterson Stadium,,"L, 0-2",0,2,4234
2016,52,May 14(Sat),1:00 PM,Louisville,Irish Classic,Jim Patterson Stadium,,"L, 2-4",2,4,1882
2016,53,May 15(Sun),1:00 PM,Louisville,Irish Classic,Jim Patterson Stadium,,"L, 1-6",1,6,3431
2016,54,May 19(Thu),6:00 PM,North Carolina,Irish Classic,Doak Field,,"W, 6-4",6,4,2066
2016,55,May 20(Fri),6:30 PM,North Carolina,Irish Classic,Doak Field,,"L, 4-16",4,16,3048
2016,56,May 21(Sat),1:00 PM,North Carolina,Irish Classic,Doak Field,,"W, 10-1",10,1,3048
2016,57,May 25(Wed),11:00 AM,Florida State,ACC Championship,Durham Bulls Athletic Park,,"L, 3-7",3,7,3409
2016,58,May 26(Thu),7:00 PM,Miami,ACC Championship,Durham Bulls Athletic Park,,"L, 7-8",7,8,5692
2016,59,May 27(Fri),7:00 PM,Georgia Tech,ACC Championship,Durham Bulls Athletic Park,,"W, 7-5",7,5,5848
2016,60,Jun 3(Fri),7:00 PM,Navy,NCAA Raleigh Regional,Doak Field,,"W, 13-8",13,8,3048
2016,61,Jun 4(Sat),7:00 PM,Coastal Carolina,NCAA Raleigh Regional,Doak Field,,"L, 0-4",0,4,3048
2016,62,Jun 5(Sun),2:00 PM,Navy,NCAA Raleigh Regional,Doak Field,,"W, 17-1",17,1,2403
2016,63,Jun 6(Mon),1:00 PM,Coastal Carolina,NCAA Raleigh Regional,Doak Field,,"W, 8-1",8,1,2627
2016,64,Jun 6(Mon),6:00 PM,Coastal Carolina,NCAA Raleigh Regional,Doak Field,,"L, 5-7",5,7,2918
2017,1,Feb 17(Fri),11:35 PM,Hawai'i,,Les Murakami Stadium,,"W, 4-0",4,0,3421
2017,2,Feb 18(Sat),11:35 PM,Hawai'i,,Les Murakami Stadium,,"L, 3-8",3,8,3786
2017,3,Feb 19(Sun),5:05 PM,Hawai'i,,Les Murakami Stadium,,"W, 8-1",8,1,2800
2017,4,Feb 24(Fri),3:00 PM,Austin Peay,,Doak Field,,"W, 9-3",9,3,2063
2017,5,Feb 25(Sat),2:00 PM,Austin Peay,,Doak Field,,"W, 6-3",6,3,3048
2017,6,Feb 26(Sun),12:00 PM,Austin Peay,,Doak Field,,"L, 3-7",3,7,1835
2017,7,Feb 28(Tue),4:00 PM,UNC Greensboro,,UNCG Baseball Complex,,"W, 8-2",8,2,1058
2017,8,Mar 1(Wed),3:00 PM,Charlotte,,Doak Field,,"L, 5-6",5,6,1725
2017,9,Mar 3(Fri),3:00 PM,Rhode Island,,Doak Field,,"L, 2-5",2,5,2185
2017,10,Mar 4(Sat),4:30 PM,Maryland,,USA Baseball NTC,,"L, 2-9",2,9,450
2017,11,Mar 5(Sun),1:00 PM,UMass Lowell,,Doak Field,,"W, 8-0",8,0,2325
2017,12,Mar 6(Mon),2:00 PM,Western Carolina,,Doak Field,,"L, 8-9",8,9,2219
2017,13,Mar 8(Wed),4:00 PM,UNC Wilmington,,Brooks Field,,"W, 8-5",8,5,1337
