ncaa_name,bd_name,school_id
Roanoke,,578
Ithaca,,313
Rhodes,,573
Shenandoah,,637
Salve Regina,,623
Wooster,,807
Penn St.-Behrend,,538
William Peace,,17094
Wash. & Jeff.,,751
Merchant Marine,,724
Brandeis,,73
Rochester (Liberty League),,581
Suffolk,,684
Kean,,329
Stevens,,679
Moravian,,443
Arcadia,,966
Wis.-Platteville,,800
Wis.-Whitewater,,805
Lebanon Valley,,351
Plattsburgh St.,,547
Oswego St.,,530
Utica,,733
Keystone,,30047
Springfield,,673
Northwestern-St. Paul,,30031
Scranton,,633
Buena Vista,,84
East. Mennonite,,203
Claremont-M-S,,142
Maryville (USA South),,396
Washington Col.,,753
Pfeiffer,,542
Penn St.-Altoona,,25719
Skidmore,,642
Wash. & Lee,,752
Immaculata,,303
Union (Liberty League),,727
DeSales,,20
SUNY Brockport,,78
Concordia-M'head,,161
Old Westbury,,524
Endicott,,8981
Grinnell,,264
Wittenberg,,806
Lynchburg,,374
N.C. Wesleyan,,491
Gettysburg,,258
Franklin,,2694
Calvin,,114
Colby,,151
Loras,,364
UChicago,,137
Wis.-La Crosse,,795
Spalding,,23260
Elmhurst,,212
Franklin & Marshall,,239
Westfield St.,,777
Hope,,286
Wilkes,,784
Hamilton,,267
Stockton,,681
Gwynedd Mercy,,12399
Swarthmore,,686
Wabash,,747
Lehman,,279
Sul Ross St.,,1390
Misericordia,,16142
Marymount (Atlantic East),,394
Mary Hardin-Baylor,,1203
Grove City,,265
UMass Boston,,401
Penn St.-Berks,,30044
East Tex. Baptist,,1062
Centenary (Atlantic East),,12884
Anderson (HCAC),,939
Wis.-Stevens Point,,802
Thiel,,707
Vassar,,737
Westminster (C),,1451
Penn St. Harrisburg,,30081
Rose-Hulman,,585
New England Col.,,467
Bridgewater St.,,76
Schreiner,,1355
Kenyon,,335
Ohio Northern,,517
Salisbury,,622
Catholic,,124
John Carroll,,320
Austin,,953
Mary Washington,,390
Wheaton (NEWC),,779
St. Mary's (United East),,611
McMurry,,8530
York (MAC Commonwealth),,815
Penn College,,30190
Hardin-Simmons,,271
New Jersey City,,319
Roger Williams,,583
Millsaps,,426
Guilford,,1112
Cabrini,,88
Mass. Maritime,,399
Carthage,,121
Eureka,,218
Mitchell,,30042
NYU,,479
Emory,,217
Manhattanville,,382
Keuka,,1159
Johns Hopkins,,322
Wis.-Oshkosh,,798
Covenant,,30111
Delaware Valley,,179
Bridgewater (ODAC),,75
Texas Lutheran,,1400
Mt. St. Joseph,,8567
Rutgers-Newark,,589
MSOE,,20220
Wesleyan (NESCAC),,764
Ripon,,577
St. John Fisher,,601
Farmingdale St.,,27892
Olivet,,525
Wheaton (CCIW),,778
Wartburg,,750
Benedictine (NACC),,296
Puget Sound,,557
Brevard,,30094
Mount Aloysius,,30036
Pacific Lutheran,,1297
Lancaster Bible,,30085
Saint Vincent,,30064
Gallaudet,,245
Central (American Rivers),,126
Trinity (NESCAC),,713
Pacific (NWC),,2751
Augustana (CCIW),,40
Wis.-Stout,,803
Ozarks (ASC),,23008
Howard Payne,,2741
Millikin,,424
Dubuque,,192
WashU,,755
Babson,,45
St. Joseph's (Great Northeast),,605
Lewis & Clark,,22235
Hendrix,,1124
Rensselaer,,570
Carleton,,118
Nichols,,484
Hanover,,1115
Elizabethtown,,211
Haverford,,276
Concordia Wisconsin,,1036
Muskingum,,455
Mount Union,,452
Western New Eng.,,775
Luther,,372
JWU (Great Northeast),,22626
Franciscan,,30069
Clarkson,,146
Westminster (SLIAC),,1450
Transylvania,,28749
Husson,,1133
Dominican (NACC),,1332
Va. Wesleyan,,745
Muhlenberg,,453
Messiah,,411
St. Norbert,,614
King's (MAC Freedom),,336
Monmouth (MWC),,438
Greensboro,,263
Pitt.-Greensburg,,11839
Saint John's (MIAC),,602
Macalester,,376
TCNJ,,712
Willamette,,785
Thomas (North Atlantic),,2758
Norwich,,511
Emerson,,214
North Park,,496
Southwestern (SCAC),,8746
Alvernia,,938
St. Joseph's (Skyline),,30072
Oberlin,,515
Edgewood,,1066
Geneva,,30084
Illinois Col.,,297
Cal Lutheran,,105
Wentworth,,762
Trine,,30037
Bard,,962
Oglethorpe,,2713
Alfred St.,,30170
Fredonia,,242
Rockford,,582
Whitman,,780
Cobleskill St.,,30083
Bethany Lutheran,,30038
SUNY Maritime,,478
Neb. Wesleyan,,462
St. Lawrence,,607
Cairn,,1305
Chris. Newport,,139
Lakeland,,1164
Wis.-Superior,,804
Bowdoin,,69
Amherst,,24
Worcester St.,,809
Hilbert,,8398
Houghton,,30160
Eastern,,8968
Me.-Farmington,,379
IIT,,30172
Centre,,132
Capital,,117
SUNY New Paltz,,475
Hampden-Sydney,,269
Beloit,,53
MIT,,398
Southern Va.,,30164
Salem St.,,621
Lesley,,24317
Bluffton,,987
FDU-Florham,,221
Eastern Nazarene,,1064
Neumann,,1254
WPI,,808
Dean,,30219
Rosemont,,15882
Pitt.-Bradford,,1315
Marian (NACC),,1196
Simpson,,641
Marywood,,397
Piedmont,,21830
UMass Dartmouth,,656
Williams,,789
Juniata,,325
Averett,,44
Linfield,,1179
Ramapo,,564
RIT,,580
Elmira,,213
Concordia Chicago,,160
Bates,,50
St. Thomas (SCAC),,2810
Cazenovia,,23624
Ohio Wesleyan,,520
Minn.-Morris,,1226
Mt. St. Mary (Skyline),,1468
Valley Forge,,30166
Plymouth St.,,548
Bob Jones,,30232
CWRU,,122
Baruch,,58
Augsburg,,38
Southern Me.,,662
Ferrum,,225
Heidelberg,,278
Wis. Lutheran,,8911
St. Scholastica,,618
Mary Baldwin,,389
Elms,,532
CCNY,,480
Fitchburg St.,,227
Rutgers-Camden,,588
Dickinson,,185
Framingham St.,,238
Wis.-Eau Claire,,793
Gordon,,1099
La Roche,,1163
Chatham,,10972
Stevenson,,21852
Blackburn,,64
Belhaven,,30197
Alma,,21
MCLA,,486
Colby-Sawyer,,152
Susquehanna,,685
Greenville,,1111
Lasell,,8486
Manchester,,1192
Coast Guard,,722
Cornell College,,166
North Central (UMAC),,30039
Carroll (CCIW),,120
SUNY Oneonta,,526
Saint Mary's (MIAC),,612
Ursinus,,730
Clark (NEWC),,145
Purchase,,30029
Albertus Magnus,,2798
SUNY Poly,,9500
Russell Sage,,11036
SUNY Canton,,30165
Northland,,1267
Concordia (ASC),,24400
Occidental,,516
Bethany (PAC),,59
Waynesburg,,1434
Me.-Presque Isle,,30040
George Fox,,1094
St. Olaf,,615
Whittier,,781
Drew,,190
NVU-Lyndon,,30065
Defiance,,1050
Hiram,,281
Hamline,,268
Caltech,,89
Dallas,,1044
Western Conn. St.,,770
Knox,,337
MUW,,431
Hood,,8404
Martin Luther,,8597
Sewanee,,652
Wells,,761
LeTourneau,,8490
Albion,,15
Castleton,,123
Berea,,30171
Whitworth,,1454
Clarks Summit,,958
Curry,,170
John Jay,,321
Medaille,,23725
Coe,,150
Maranatha Baptist,,1194
Yeshiva,,814
Keene St.,,330
Rivier,,18422
Finlandia,,30032
Principia,,555
Albright,,16
